person_id,friend_id
3089,9016
252,4534
5785,6877
4802,9561
1112,2948
6657,9812
4544,4607
1583,4785
1213,3754
740,7506
927,9584
1079,1310
3173,7963
273,8794
2885,4298
2179,9734
3387,5448
1150,2651
4474,7251
1358,3354
3785,9658
6679,8258
7121,8603
3198,5926
669,5761
338,494
5188,9223
147,926
1167,3759
1535,8127
8983,9244
4757,6004
2634,7281
6144,8099
2469,8934
1825,4668
8938,9501
7573,8885
3927,8960
5988,6805
4713,9869
7662,8176
1163,3236
3455,3488
1689,8944
3155,3196
1441,4678
658,8204
1780,1892
5668,8520
3591,5978
6172,6333
6418,9772
2707,8698
5423,8689
5634,8909
742,9780
592,6803
2273,9345
678,5823
130,8435
5691,6410
3100,5367
5247,8648
2208,7415
3380,7636
6802,8607
3049,8031
1413,9426
7617,8002
7145,8946
7520,8069
352,9975
2511,8355
4772,9294
942,6808
7146,9548
453,3611
7366,7602
663,977
5241,8052
2820,9864
5652,6832
8321,9286
2474,8473
1173,6152
829,6342
9050,9661
4029,8432
5144,8119
719,2040
1164,8318
2504,4151
1501,5459
17,9847
4747,7894
475,5063
5461,7237
1963,9462
3119,9150
4081,5589
6328,6822
4920,5378
4765,8473
5758,6477
1038,6866
278,7178
1116,8277
1962,2821
2676,8580
8255,9757
2110,3473
3616,6923
1842,1938
4326,8022
7927,8958
2980,5958
3761,6523
1742,7369
3033,3340
7088,8388
3478,9618
1487,6850
2110,3823
9603,9621
6893,7166
4090,8684
2355,9289
5115,5445
4127,4779
696,8980
4963,5051
8139,8999
4273,4604
1943,8032
2101,5208
1263,8273
50,1635
1013,8098
813,6532
1687,3124
3583,9792
3378,6354
1685,6461
2344,6097
4956,7263
1941,4172
2999,3325
499,8816
1280,8627
1409,5065
597,5187
1469,5116
3145,9566
3580,6488
1410,7919
2988,9582
3800,4542
4025,7104
4361,7053
6095,8475
8624,8640
4772,8839
7199,7973
615,3514
365,9001
3023,4850
1614,4716
1681,6692
4055,9198
5941,8008
5039,9368
712,6830
4695,9558
9175,9682
2107,8786
7518,9446
3755,8182
4135,8403
515,2529
4666,8039
1051,3263
2606,8884
3131,5322
294,840
6059,9168
519,3402
4187,7812
2967,4167
730,3622
88,183
2877,7657
5623,9769
3529,5368
8730,9416
3752,4851
109,4443
1640,9670
6487,9056
2411,3131
5236,6098
5958,8712
411,1775
2188,7031
1042,5779
1324,4711
2090,3490
5550,7197
68,5573
7822,9426
6017,9292
2022,2797
5304,7141
277,2714
287,3402
3797,4220
5786,6915
5225,8568
1250,3449
2394,8038
5143,9667
157,7493
9675,9981
1282,1452
4673,7274
5884,6669
4881,7977
891,7488
3919,9286
3974,8993
4168,5826
271,1364
431,3531
2117,2253
4254,4846
6401,8127
300,604
422,1533
1645,2443
5289,6459
2725,9491
6674,7727
7861,8980
863,8823
6308,9067
109,255
