person_id,friend_id
478,676
529,907
68,283
386,858
432,974
29,32
380,784
344,861
154,966
130,380
677,778
682,856
50,91
888,961
148,168
459,784
225,617
700,910
197,518
35,227
515,864
790,803
153,448
600,908
194,220
350,733
603,913
121,681
28,453
396,620
38,912
74,569
520,915
234,558
556,609
327,520
43,990
827,843
271,854
156,638
436,692
250,273
21,450
193,934
36,987
342,505
20,225
149,864
278,520
18,115
66,866
561,808
220,515
473,695
321,338
390,697
238,569
491,749
568,969
366,983
122,128
306,703
686,924
39,359
686,695
551,736
322,913
685,736
143,416
198,877
36,61
509,510
108,166
257,932
99,117
145,462
558,631
439,451
315,644
172,824
540,991
172,595
120,176
567,865
185,534
314,944
78,179
331,359
107,880
88,867
831,911
96,233
674,698
49,875
887,991
348,942
67,700
172,945
516,526
139,539
87,120
92,464
713,811
97,542
47,950
162,937
193,250
231,542
518,572
652,801
905,981
308,762
79,939
382,711
514,867
729,755
228,473
168,193
627,744
393,577
618,924
599,645
549,824
122,491
361,773
796,930
199,711
359,700
400,701
226,814
59,408
534,701
207,306
69,601
148,894
96,475
77,196
729,876
352,889
388,583
44,773
935,981
250,878
286,306
453,483
241,829
48,663
750,935
423,540
409,413
359,821
326,873
73,427
606,698
518,814
69,722
325,419
321,943
42,67
118,614
300,362
324,719
21,947
525,709
492,532
356,900
43,440
626,761
189,494
56,904
97,905
601,704
78,663
768,881
205,475
336,958
559,707
564,822
130,301
132,899
118,964
462,774
135,150
673,728
444,905
258,486
29,663
464,591
254,781
629,658
188,427
446,951
100,314
50,722
413,774
292,484
471,715
624,957
531,766
550,779
223,384
350,425
770,782
536,615
135,271
300,604
117,897
19,325
277,849
253,263
184,658
406,734
225,430
170,494
478,610
63,368
612,839
860,941
161,674
419,969
174,613
21,142
463,487
408,551
207,561
191,553
359,366
182,733
550,900
56,99
66,787
589,828
663,777
277,970
368,371
10,626
244,564
189,628
524,618
703,849
251,954
278,562
228,970
135,513
214,806
520,849
406,747
299,392
155,613
353,857
375,387
554,618
199,390
853,914
383,736
278,454
639,662
173,926
231,342
809,844
143,229
148,573
93,408
220,449
478,973
712,911
249,921
82,515
211,400
610,900
615,978
637,737
155,505
549,624
315,457
427,927
807,919
232,459
171,449
773,783
9,387
181,871
83,336
102,349
649,747
74,516
308,683
244,927
445,688
32,290
426,446
753,804
101,878
85,116
598,930
496,919
307,983
217,272
26,704
862,976
428,455
719,927
87,162
572,914
391,573
38,980
132,578
99,401
118,414
720,748
472,683
68,593
95,696
752,966
291,342
26,825
664,853
53,699
287,637
3,878
125,575
600,868
691,986
